The Story of Art (Hardcover),E.H. Gombrich,3.88,371409,1950,art,www.goodreads.com//book/show/222078.The_Story_of_Art
The New Drawing on the Right Side of the Brain (Paperback),Betty Edwards,3.84,397471,1979,art,www.goodreads.com//book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain
Wall and Piece (Paperback),Banksy,3.84,302128,1988,art,www.goodreads.com//book/show/114683.Wall_and_Piece
Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback),Austin Kleon,3.88,278559,2012,art,www.goodreads.com//book/show/13099738-steal-like-an-artist
Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.86,717160,1999,art,www.goodreads.com//book/show/2865.Girl_with_a_Pearl_Earring
The Artist's Way (Paperback),Julia Cameron,3.89,154488,1992,art,www.goodreads.com//book/show/615570.The_Artist_s_Way
The Art Book (Paperback),Phaidon Press,3.81,227646,1997,art,www.goodreads.com//book/show/567616.The_Art_Book
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,3.7,139828,1993,art,www.goodreads.com//book/show/187633.Art_and_Fear
The Goldfinch (Hardcover),Donna Tartt,3.87,844197,2013,art,www.goodreads.com//book/show/17333223-the-goldfinch
Seven Days in the Art World (Paperback),Sarah Thornton,3.58,84631,2008,art,www.goodreads.com//book/show/6988014-seven-days-in-the-art-world
Concerning the Spiritual in Art (Paperback),Wassily Kandinsky,3.82,106368,1912,art,www.goodreads.com//book/show/857502.Concerning_the_Spiritual_in_Art
Understanding Comics: The Invisible Art (Paperback),Scott McCloud,3.97,163680,1993,art,www.goodreads.com//book/show/102920.Understanding_Comics
M.C. Escher: The Graphic Work (Paperback),M.C. Escher,3.91,92974,1956,art,www.goodreads.com//book/show/276287.M_C_Escher
History of Beauty (Hardcover),Umberto Eco,3.77,118138,2004,art,www.goodreads.com//book/show/10505.History_of_Beauty
Color: A Natural History of the Palette (Paperback),Victoria Finlay,3.79,121803,2003,art,www.goodreads.com//book/show/19596.Color
On Photography (Paperback),Susan Sontag,3.8,69170,1973,art,www.goodreads.com//book/show/52372.On_Photography
The Art Forger (Hardcover),B.A. Shapiro,3.65,120975,2012,art,www.goodreads.com//book/show/14568987-the-art-forger
The Diary of Frida Kahlo: An Intimate Self-Portrait (Hardcover),Frida Kahlo,3.87,107105,1995,art,www.goodreads.com//book/show/91760.The_Diary_of_Frida_Kahlo
Art Through the Ages (Hardcover),Helen Gardner,3.77,70103,1926,art,www.goodreads.com//book/show/32525.Art_Through_the_Ages
The Shock of the New (Paperback),Robert Hughes,3.7,62703,1980,art,www.goodreads.com//book/show/542639.The_Shock_of_the_New
History of Art (Hardcover),H.W. Janson,3.76,68453,1962,art,www.goodreads.com//book/show/2693801-history-of-art
The Lives of the Artists (Paperback),Giorgio Vasari,3.74,45791,1550,art,www.goodreads.com//book/show/233389.The_Lives_of_the_Artists
Just Kids (Hardcover),Patti Smith,4.11,259057,2010,art,www.goodreads.com//book/show/341879.Just_Kids
The Agony and the Ecstasy (Mass Market Paperback),Irving Stone,4.07,122297,1958,art,www.goodreads.com//book/show/321552.The_Agony_and_the_Ecstasy
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles (Paperback),Steven Pressfield,4.0,98787,2002,art,www.goodreads.com//book/show/1319.The_War_of_Art
Leonardo's Notebooks (Hardcover),Leonardo da Vinci,3.94,89359,1519,art,www.goodreads.com//book/show/24096.Leonardo_s_Notebooks
An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists_ Illustrators And Designers (Paperback),Danny Gregory,3.68,59419,2008,art,www.goodreads.com//book/show/3253215-an-illustrated-life
